sl_model,mode,n_groups,groups,gate_label,n_trades,trades_per_year,win_pct,expectancy_r,max_losing_streak,profit_factor
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,distance_to_next_htf_obstacle_atr>=0.25,1127,161.1,0.378,0.1558,15,1.256
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,aoi_far_edge_atr>=1.0,905,129.4,0.3779,0.1381,15,1.223
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,break_close_location>=0.5,871,124.5,0.3777,0.1494,16,1.243
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,aoi_far_edge_atr>=1.5,1118,159.8,0.3775,0.1437,12,1.233
SL_SIGNAL_CANDLE,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3774,0.164,16,1.27
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3774,0.1476,15,1.24
SL_ATR_0_5,threshold,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.35,922,131.8,0.3774,0.1323,13,1.213
SL_ATR_1_5,threshold,2,jpy_pairs+eur_crosses,bars_between_retest_and_break<=2 & htf_range_size_mid_atr>=10,1158,165.5,0.3774,0.1461,14,1.238
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bars_between_retest_and_break<=3,1214,173.5,0.3773,0.1341,16,1.216
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,trend_age_impulses>=3,1386,198.1,0.3773,0.1349,19,1.217
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,signal_candle_opposite_extreme_atr>=0.25,920,131.5,0.3772,0.1359,13,1.219
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,no_gate,928,132.7,0.3772,0.1358,13,1.219
SL_AOI_NEAR_PLUS_0_25,threshold,2,jpy_pairs+usd_majors,bars_between_retest_and_break<=3 & break_close_location>=0.65,944,134.9,0.3771,0.1343,17,1.216
SL_SIGNAL_CANDLE,threshold,1,jpy_pairs,bars_between_retest_and_break<=3,793,113.4,0.377,0.1558,19,1.256
SL_AOI_NEAR_PLUS_0_5,threshold,1,jpy_pairs,bars_between_retest_and_break<=3,793,113.4,0.377,0.1459,14,1.237
SL_AOI_NEAR_PLUS_0_25,greedy,1,jpy_pairs,break_close_location>=0.5,849,121.4,0.3769,0.1354,12,1.218
